# All infantry equipment

equipments = {

	mortar_equipment = {
		year = 1970
	
		is_archetype = yes
		picture = archetype_mortar_equipment		
		is_buildable = no
		type = infantry
		group_by = archetype
		
		interface_category = interface_category_land
		
		active = yes

		#Defensive Abilities
		defense = 20
		breakthrough = 2
		hardness = 0
		armor_value = 0

		#Offensive Abilities
		soft_attack = 10
		hard_attack = 0.5
		ap_attack = 12

		#Space taken in convoy
		lend_lease_cost = 1
		
		build_cost_ic = 0.73
		resources = {
			steel = 2
		}
	}

	mortar_equipment_0 = {
		year = 1960
	
		archetype = mortar_equipment
		active = yes
		priority = 05
		visual_level = 0
	}

	mortar_equipment_1 = {
		year = 1985
	
		archetype = mortar_equipment
		parent = mortar_equipment_0
		priority = 10
		visual_level = 1

		#Defensive Abilities
		defense = 23
		breakthrough = 4
		hardness = 0
		armor_value = 0

        #Offensive Abilities
		soft_attack = 14
		hard_attack = 0.5
		ap_attack = 13

		reliability = 0.7
		build_cost_ic = 1
		resources = {
			steel = 1
		}

		build_cost_ic = 0.89
	}
	mortar_equipment_2 = {
		year = 1985
	
		archetype = mortar_equipment
		parent = mortar_equipment_1
		priority = 10
		visual_level = 2

		#Defensive Abilities
		defense = 27
		breakthrough = 8
		hardness = 0
		armor_value = 0

        #Offensive Abilities
		soft_attack = 19
		hard_attack = 0.8
		ap_attack = 14

		reliability = 0.8
		build_cost_ic = 1
		resources = {
			steel = 2
		}

		build_cost_ic = 0.98
	}
	mortar_equipment_3 = {
		year = 1985
	
		archetype = mortar_equipment
		parent = mortar_equipment_2
		priority = 10
		visual_level = 1

		#Defensive Abilities
		defense = 31
		breakthrough = 8
		hardness = 0
		armor_value = 0

        #Offensive Abilities
		soft_attack = 23
		hard_attack = 1.2
		ap_attack = 15

		reliability = 0.8
		build_cost_ic = 1
		resources = {
			steel = 2
		}

		build_cost_ic = 1.07
	}
	mortar_equipment_4 = {
		year = 1985
	
		archetype = mortar_equipment
		parent = mortar_equipment_3
		priority = 10
		visual_level = 4

		#Defensive Abilities
		defense = 34
		breakthrough = 11
		hardness = 0
		armor_value = 0

        #Offensive Abilities
		soft_attack = 26
		hard_attack = 1.3
		ap_attack = 17

		reliability = 0.8
		build_cost_ic = 1
		resources = {
			steel = 2
		}

		build_cost_ic = 1.23
	}
}
